citation_id,citing_arxiv_id,citing_primary_category,split
1506.01125::p0,1506.01125,cs.CV,train
1702.04479::p30,1702.04479,cs.CV,test
1602.03346::p12,1602.03346,cs.CV,val
1605.06240::p27,1605.06240,cs.CV,test
1705.02544::p1,1705.02544,cs.CV,train
1708.07590::p75,1708.07590,cs.CV,train
1003.0487::p9,1003.0487,cs.CV,test
1703.07195::p59,1703.07195,cs.CV,train
1607.04942::p17,1607.04942,cs.CV,train
1612.00423::p40,1612.00423,cs.CV,train
1304.6759::p0,1304.6759,cs.CV,train
1702.04479::p4,1702.04479,cs.CV,test
1612.02166::p16,1612.02166,cs.CV,val
1708.07590::p9,1708.07590,cs.CV,train
1411.0126::p4,1411.0126,cs.CV,train
1705.06846::p88,1705.06846,cs.CV,train
1511.07041::p27,1511.07041,cs.CV,val
1312.7469::p13,1312.7469,cs.CV,train
1609.05561::p3,1609.05561,cs.CV,train
1708.09687::p37,1708.09687,cs.CV,train
1707.06557::p35,1707.06557,cs.CV,train
1706.07263::p3,1706.07263,cs.CV,test
1706.03686::p7,1706.03686,cs.CV,test
1608.06521::p0,1608.06521,cs.CV,train
1609.02135::p4,1609.02135,cs.CV,val
1607.04593::p38,1607.04593,cs.CV,train
1709.03199::p1,1709.03199,cs.CV,train
1611.02776::p3,1611.02776,cs.CV,val
1706.02715::p18,1706.02715,cs.CV,val
1411.1442::p4,1411.1442,cs.CV,val
1704.01429::p5,1704.01429,cs.CV,train
1706.07263::p1,1706.07263,cs.CV,test
1709.01134::p23,1709.01134,cs.CV,test
1409.0602::p5,1409.0602,cs.CV,train
1612.00423::p1,1612.00423,cs.CV,train
1504.04003::p2,1504.04003,cs.CV,val
1504.03967::p1,1504.03967,cs.CV,val
1607.06416::p11,1607.06416,cs.CV,test
1704.07056::p18,1704.07056,cs.CV,train
1607.02936::p1,1607.02936,cs.CV,train
1708.02766::p0,1708.02766,cs.CV,train
1610.06136::p0,1610.06136,cs.CV,test
1611.02776::p7,1611.02776,cs.CV,val
1609.03302::p3,1609.03302,cs.CV,train
1407.5976::p11,1407.5976,cs.CV,train
1709.02054::p0,1709.02054,cs.CV,train
1704.02422::p0,1704.02422,cs.CV,train
1612.02166::p10,1612.02166,cs.CV,val
1603.08631::p4,1603.08631,cs.CV,test
1704.00438::p9,1704.00438,cs.CV,train
1701.06944::p1,1701.06944,cs.CV,train
1609.07495::p9,1609.07495,cs.CV,test
1708.09687::p34,1708.09687,cs.CV,train
1408.5418::p37,1408.5418,cs.CV,train
1606.07830::p6,1606.07830,cs.CV,val
1609.01344::p3,1609.01344,cs.CV,val
1505.07930::p23,1505.07930,cs.CV,train
1607.04942::p0,1607.04942,cs.CV,train
1612.00991::p12,1612.00991,cs.CV,train
1610.02055::p17,1610.02055,cs.CV,train
1602.08127::p4,1602.08127,cs.CV,val
1709.00753::p16,1709.00753,cs.CV,train
1503.03270::p2,1503.03270,cs.CV,test
1607.04593::p9,1607.04593,cs.CV,train
1701.00723::p0,1701.00723,cs.CV,train
1603.02252::p5,1603.02252,cs.CV,test
1611.03313::p22,1611.03313,cs.CV,test
1710.00870::p8,1710.00870,cs.CV,val
1702.07025::p21,1702.07025,cs.CV,train
1706.05461::p44,1706.05461,cs.CV,train
1709.02967::p2,1709.02967,cs.CV,test
1702.04463::p6,1702.04463,cs.CV,val
1509.01354::p24,1509.01354,cs.CV,train
1702.00061::p19,1702.00061,cs.CV,train
1702.04069::p20,1702.04069,cs.CV,train
1603.06554::p30,1603.06554,cs.CV,train
1511.06627::p47,1511.06627,cs.CV,train
1603.02252::p27,1603.02252,cs.CV,test
1703.07195::p56,1703.07195,cs.CV,train
1410.3910::p25,1410.3910,cs.CV,train
1703.06492::p46,1703.06492,cs.CV,val
1511.06627::p42,1511.06627,cs.CV,train
1612.05332::p77,1612.05332,cs.CV,train
1611.06962::p11,1611.06962,cs.CV,train
1609.07495::p39,1609.07495,cs.CV,test
1509.01354::p41,1509.01354,cs.CV,train
1605.08464::p30,1605.08464,cs.CV,train
1609.02781::p0,1609.02781,cs.CV,train
1611.08983::p4,1611.08983,cs.CV,train
1705.00086::p1,1705.00086,cs.CV,train
1603.07957::p6,1603.07957,cs.CV,test
1506.06448::p0,1506.06448,cs.CV,train
1702.00871::p46,1702.00871,cs.CV,val
1612.04007::p0,1612.04007,cs.CV,val
1505.07930::p11,1505.07930,cs.CV,train
1601.03531::p21,1601.03531,cs.CV,test
1702.04479::p0,1702.04479,cs.CV,test
1603.07957::p42,1603.07957,cs.CV,test
1303.2465::p26,1303.2465,cs.CV,val
1701.06944::p17,1701.06944,cs.CV,train
1612.05362::p5,1612.05362,cs.CV,train
1704.03895::p7,1704.03895,cs.CV,train
1702.04463::p34,1702.04463,cs.CV,val
1601.05644::p81,1601.05644,cs.CV,val
1701.05703::p13,1701.05703,cs.CV,train
1704.01429::p21,1704.01429,cs.CV,train
1406.2639::p4,1406.2639,cs.CV,train
1407.5976::p6,1407.5976,cs.CV,train
1710.08014::p38,1710.08014,cs.CV,train
1703.06492::p39,1703.06492,cs.CV,val
1610.02055::p34,1610.02055,cs.CV,train
1406.2639::p11,1406.2639,cs.CV,train
1702.08634::p24,1702.08634,cs.CV,train
1010.0417::p6,1010.0417,cs.CV,train
1612.00814::p6,1612.00814,cs.CV,train
1705.05512::p36,1705.05512,cs.CV,train
1602.05312::p1,1602.05312,cs.CV,test
1604.03635::p0,1604.03635,cs.CV,train
1705.01908::p4,1705.01908,cs.CV,test
1702.08423::p23,1702.08423,cs.CV,val
1704.07023::p22,1704.07023,cs.CV,test
1606.01167::p9,1606.01167,cs.CV,train
1607.02936::p12,1607.02936,cs.CV,train
1601.06615::p28,1601.06615,cs.CV,val
1612.05362::p3,1612.05362,cs.CV,train
1706.03686::p11,1706.03686,cs.CV,test
1604.03635::p1,1604.03635,cs.CV,train
1709.01134::p0,1709.01134,cs.CV,test
1603.06554::p0,1603.06554,cs.CV,train
1606.07830::p15,1606.07830,cs.CV,val
1709.08203::p31,1709.08203,cs.CV,train
1412.7854::p4,1412.7854,cs.CV,val
1709.08924::p10,1709.08924,cs.CV,train
1312.7469::p3,1312.7469,cs.CV,train
1604.06979::p27,1604.06979,cs.CV,train
1704.03895::p12,1704.03895,cs.CV,train
1701.00723::p6,1701.00723,cs.CV,train
1605.06240::p6,1605.06240,cs.CV,test
1406.4112::p8,1406.4112,cs.CV,train
1312.6199::p0,1312.6199,cs.CV,train
1704.02422::p11,1704.02422,cs.CV,train
1511.06936::p5,1511.06936,cs.CV,train
1608.08471::p147,1608.08471,cs.CV,val
1710.05193::p1,1710.05193,cs.CV,test
1611.03313::p4,1611.03313,cs.CV,test
1507.05053::p4,1507.05053,cs.CV,train
1612.04007::p22,1612.04007,cs.CV,val
1410.3905::p17,1410.3905,cs.CV,test
1612.00991::p2,1612.00991,cs.CV,train
1611.08983::p62,1611.08983,cs.CV,train
1406.7062::p15,1406.7062,cs.CV,train
1602.03346::p30,1602.03346,cs.CV,val
1609.02214::p47,1609.02214,cs.CV,train
1410.3905::p1,1410.3905,cs.CV,test
1607.04593::p1,1607.04593,cs.CV,train
1703.08492::p13,1703.08492,cs.CV,val
1608.06521::p2,1608.06521,cs.CV,train
1612.05332::p68,1612.05332,cs.CV,train
1709.09902::p44,1709.09902,cs.CV,train
1708.09687::p27,1708.09687,cs.CV,train
1606.01167::p15,1606.01167,cs.CV,train
1701.05703::p14,1701.05703,cs.CV,train
1511.06936::p33,1511.06936,cs.CV,train
1303.6163::p42,1303.6163,cs.CV,train
1704.07709::p9,1704.07709,cs.CV,val
1702.04463::p89,1702.04463,cs.CV,val
1407.3179::p8,1407.3179,cs.CV,train
1609.05561::p1,1609.05561,cs.CV,train
1303.2465::p76,1303.2465,cs.CV,val
1407.5976::p1,1407.5976,cs.CV,train
1701.04769::p19,1701.04769,cs.CV,val
1707.08705::p0,1707.08705,cs.CV,train
1702.04463::p21,1702.04463,cs.CV,val
1605.05904::p23,1605.05904,cs.CV,train
1701.04769::p0,1701.04769,cs.CV,val
1408.5418::p0,1408.5418,cs.CV,train
1506.01125::p4,1506.01125,cs.CV,train
1407.0765::p0,1407.0765,cs.CV,train
1601.05644::p77,1601.05644,cs.CV,val
1612.04007::p16,1612.04007,cs.CV,val
1304.3192::p39,1304.3192,cs.CV,test
1707.00823::p46,1707.00823,cs.CV,train
1706.01159::p2,1706.01159,cs.CV,train
1708.00187::p1,1708.00187,cs.CV,test
1304.5063::p21,1304.5063,cs.CV,train
1505.07930::p3,1505.07930,cs.CV,train
1708.00961::p0,1708.00961,cs.CV,train
1607.04939::p29,1607.04939,cs.CV,test
1611.06678::p30,1611.06678,cs.CV,train
1611.02776::p13,1611.02776,cs.CV,val
1708.01894::p5,1708.01894,cs.CV,train
1501.00777::p40,1501.00777,cs.CV,test
1507.05053::p3,1507.05053,cs.CV,train
1506.06882::p0,1506.06882,cs.CV,test
1704.03895::p11,1704.03895,cs.CV,train
1702.08423::p34,1702.08423,cs.CV,val
1405.1402::p6,1405.1402,cs.CV,val
1406.2639::p8,1406.2639,cs.CV,train
1609.07495::p4,1609.07495,cs.CV,test
1407.0765::p1,1407.0765,cs.CV,train
1403.3829::p18,1403.3829,cs.CV,train
1610.06669::p14,1610.06669,cs.CV,train
1709.08924::p6,1709.08924,cs.CV,train
1610.06136::p22,1610.06136,cs.CV,test
1704.07056::p17,1704.07056,cs.CV,train
1511.06627::p40,1511.06627,cs.CV,train
1608.06521::p6,1608.06521,cs.CV,train
1709.02054::p43,1709.02054,cs.CV,train
1611.08983::p3,1611.08983,cs.CV,train
1509.01354::p20,1509.01354,cs.CV,train
1603.06554::p17,1603.06554,cs.CV,train
1505.03046::p43,1505.03046,cs.CV,train
1611.08258::p25,1611.08258,cs.CV,test
1602.05312::p18,1602.05312,cs.CV,test
1611.02200::p29,1611.02200,cs.CV,train
1703.06492::p0,1703.06492,cs.CV,val
1607.04939::p2,1607.04939,cs.CV,test
1612.05362::p29,1612.05362,cs.CV,train
1608.04517::p1,1608.04517,cs.CV,test
1702.03407::p2,1702.03407,cs.CV,test
1403.3829::p0,1403.3829,cs.CV,train
1609.01344::p2,1609.01344,cs.CV,val
1610.06669::p5,1610.06669,cs.CV,train
0810.5573::p16,0810.5573,cs.CV,train
1311.6934::p19,1311.6934,cs.CV,train
1611.03313::p12,1611.03313,cs.CV,test
1709.09902::p48,1709.09902,cs.CV,train
1511.06627::p3,1511.06627,cs.CV,train
1702.08423::p31,1702.08423,cs.CV,val
1604.03635::p5,1604.03635,cs.CV,train
1705.01908::p1,1705.01908,cs.CV,test
1705.02407::p12,1705.02407,cs.CV,val
1612.00991::p19,1612.00991,cs.CV,train
1709.03199::p5,1709.03199,cs.CV,train
1506.01125::p3,1506.01125,cs.CV,train
1706.02715::p3,1706.02715,cs.CV,val
1607.06416::p0,1607.06416,cs.CV,test
1609.01344::p5,1609.01344,cs.CV,val
1609.02781::p1,1609.02781,cs.CV,train
1708.07590::p16,1708.07590,cs.CV,train
1611.08258::p42,1611.08258,cs.CV,test
1610.06136::p1,1610.06136,cs.CV,test
1303.6163::p24,1303.6163,cs.CV,train
1702.03407::p20,1702.03407,cs.CV,test
1612.01072::p4,1612.01072,cs.CV,train
1704.00438::p10,1704.00438,cs.CV,train
1609.02214::p8,1609.02214,cs.CV,train
1704.00438::p8,1704.00438,cs.CV,train
1702.02925::p7,1702.02925,cs.CV,val
1505.01560::p3,1505.01560,cs.CV,val
1705.02544::p60,1705.02544,cs.CV,train
1609.05561::p7,1609.05561,cs.CV,train
1705.00086::p0,1705.00086,cs.CV,train
1710.07346::p36,1710.07346,cs.CV,train
1312.6199::p1,1312.6199,cs.CV,train
1607.04942::p1,1607.04942,cs.CV,train
1702.08423::p12,1702.08423,cs.CV,val
1709.01134::p7,1709.01134,cs.CV,test
1707.02637::p3,1707.02637,cs.CV,test
1706.06782::p1,1706.06782,cs.CV,val
1607.01979::p6,1607.01979,cs.CV,test
1609.03302::p1,1609.03302,cs.CV,train
1704.07709::p10,1704.07709,cs.CV,val
1612.01072::p15,1612.01072,cs.CV,train
1511.07041::p11,1511.07041,cs.CV,val
1702.02925::p20,1702.02925,cs.CV,val
1608.04517::p109,1608.04517,cs.CV,test
1709.00753::p25,1709.00753,cs.CV,train
1705.02407::p26,1705.02407,cs.CV,val
1503.03270::p3,1503.03270,cs.CV,test
1511.04902::p15,1511.04902,cs.CV,train
1707.05455::p4,1707.05455,cs.CV,test
1407.5976::p13,1407.5976,cs.CV,train
1607.04609::p7,1607.04609,cs.CV,train
1710.00870::p45,1710.00870,cs.CV,val
1611.06678::p29,1611.06678,cs.CV,train
1708.07335::p3,1708.07335,cs.CV,train
1612.00991::p1,1612.00991,cs.CV,train
1702.07025::p19,1702.07025,cs.CV,train
1707.02637::p44,1707.02637,cs.CV,test
1606.06681::p28,1606.06681,cs.CV,train
1704.07056::p65,1704.07056,cs.CV,train
1604.02115::p41,1604.02115,cs.CV,train
0804.1448::p21,0804.1448,cs.CV,val
1603.08631::p2,1603.08631,cs.CV,test
1704.07023::p20,1704.07023,cs.CV,test
1703.06492::p25,1703.06492,cs.CV,val
1604.05210::p9,1604.05210,cs.CV,test
1702.08434::p5,1702.08434,cs.CV,val
1607.02936::p18,1607.02936,cs.CV,train
1703.00297::p1,1703.00297,cs.CV,train
1702.04680::p36,1702.04680,cs.CV,train
1409.0602::p6,1409.0602,cs.CV,train
1702.08634::p60,1702.08634,cs.CV,train
1612.05332::p0,1612.05332,cs.CV,train
1402.2031::p30,1402.2031,cs.CV,train
1010.0422::p3,1010.0422,cs.CV,test
1707.01408::p6,1707.01408,cs.CV,val
1611.06301::p23,1611.06301,cs.CV,val
1710.09288::p4,1710.09288,cs.CV,train
1709.08962::p22,1709.08962,cs.CV,train
1704.07023::p0,1704.07023,cs.CV,test
1606.00474::p21,1606.00474,cs.CV,test
1311.6934::p14,1311.6934,cs.CV,train
1702.00871::p35,1702.00871,cs.CV,val
1606.07830::p14,1606.07830,cs.CV,val
1702.08634::p46,1702.08634,cs.CV,train
1709.02054::p45,1709.02054,cs.CV,train
1702.04069::p6,1702.04069,cs.CV,train
1709.00753::p1,1709.00753,cs.CV,train
1606.01167::p19,1606.01167,cs.CV,train
1708.00187::p4,1708.00187,cs.CV,test
1702.04680::p16,1702.04680,cs.CV,train
1411.1446::p2,1411.1446,cs.CV,train
1709.01134::p24,1709.01134,cs.CV,test
1405.1402::p1,1405.1402,cs.CV,val
1703.09436::p15,1703.09436,cs.CV,val
1612.02675::p0,1612.02675,cs.CV,train
1604.06979::p1,1604.06979,cs.CV,train
1309.7912::p12,1309.7912,cs.CV,train
1402.2031::p2,1402.2031,cs.CV,train
1611.03313::p14,1611.03313,cs.CV,test
1611.06301::p41,1611.06301,cs.CV,val
1709.03979::p43,1709.03979,cs.CV,train
1710.00870::p7,1710.00870,cs.CV,val
1706.07156::p1,1706.07156,cs.CV,train
1606.08008::p2,1606.08008,cs.CV,train
1605.02289::p53,1605.02289,cs.CV,test
1704.07023::p12,1704.07023,cs.CV,test
1602.08127::p12,1602.08127,cs.CV,val
1709.03979::p85,1709.03979,cs.CV,train
1704.07709::p29,1704.07709,cs.CV,val
1402.2031::p36,1402.2031,cs.CV,train
1706.08653::p13,1706.08653,cs.CV,val
1411.0126::p7,1411.0126,cs.CV,train
1604.06979::p25,1604.06979,cs.CV,train
1702.02925::p16,1702.02925,cs.CV,val
1702.07025::p0,1702.07025,cs.CV,train
1701.06944::p19,1701.06944,cs.CV,train
1505.03046::p2,1505.03046,cs.CV,train
1607.01979::p7,1607.01979,cs.CV,test
1609.02781::p6,1609.02781,cs.CV,train
1609.02214::p5,1609.02214,cs.CV,train
1707.00823::p13,1707.00823,cs.CV,train
1707.07890::p5,1707.07890,cs.CV,test
1704.05959::p15,1704.05959,cs.CV,train
1503.03270::p1,1503.03270,cs.CV,test
1705.01908::p7,1705.01908,cs.CV,test
1611.06962::p14,1611.06962,cs.CV,train
1707.02637::p67,1707.02637,cs.CV,test
1505.01560::p0,1505.01560,cs.CV,val
1607.04942::p14,1607.04942,cs.CV,train
1703.07195::p3,1703.07195,cs.CV,train
1601.05644::p28,1601.05644,cs.CV,val
1702.08434::p6,1702.08434,cs.CV,val
1303.2465::p51,1303.2465,cs.CV,val
1311.6932::p16,1311.6932,cs.CV,test
1703.08492::p39,1703.08492,cs.CV,val
1710.07346::p8,1710.07346,cs.CV,train
1707.08705::p26,1707.08705,cs.CV,train
1612.01072::p34,1612.01072,cs.CV,train
1311.6934::p25,1311.6934,cs.CV,train
1706.02715::p5,1706.02715,cs.CV,val
1706.08653::p12,1706.08653,cs.CV,val
1707.05455::p6,1707.05455,cs.CV,test
1706.05461::p18,1706.05461,cs.CV,train
1608.08471::p108,1608.08471,cs.CV,val
1609.03302::p2,1609.03302,cs.CV,train
1010.0417::p12,1010.0417,cs.CV,train
1601.06615::p24,1601.06615,cs.CV,val
1707.08705::p6,1707.08705,cs.CV,train
1504.04003::p1,1504.04003,cs.CV,val
1505.06236::p7,1505.06236,cs.CV,test
1406.4112::p32,1406.4112,cs.CV,train
1606.06681::p6,1606.06681,cs.CV,train
1607.05969::p10,1607.05969,cs.CV,test
1703.08492::p28,1703.08492,cs.CV,val
1707.00823::p20,1707.00823,cs.CV,train
1603.07957::p13,1603.07957,cs.CV,test
1707.08943::p26,1707.08943,cs.CV,train
1611.08134::p34,1611.08134,cs.CV,val
1604.05210::p51,1604.05210,cs.CV,test
1709.03979::p48,1709.03979,cs.CV,train
1612.00814::p0,1612.00814,cs.CV,train
1412.4183::p159,1412.4183,cs.CV,train
1612.00423::p7,1612.00423,cs.CV,train
1708.07335::p29,1708.07335,cs.CV,train
1612.05890::p30,1612.05890,cs.CV,train
1708.00187::p19,1708.00187,cs.CV,test
1704.03895::p47,1704.03895,cs.CV,train
1706.00556::p28,1706.00556,cs.CV,val
1707.07890::p3,1707.07890,cs.CV,test
1610.02055::p4,1610.02055,cs.CV,train
1703.00297::p11,1703.00297,cs.CV,train
1709.02967::p7,1709.02967,cs.CV,test
1506.06046::p0,1506.06046,cs.CV,val
1409.0602::p37,1409.0602,cs.CV,train
1710.08092::p27,1710.08092,cs.CV,train
1706.08653::p68,1706.08653,cs.CV,val
1607.01979::p4,1607.01979,cs.CV,test
1611.06678::p4,1611.06678,cs.CV,train
1706.07156::p3,1706.07156,cs.CV,train
1406.7062::p1,1406.7062,cs.CV,train
1701.00723::p3,1701.00723,cs.CV,train
1608.00501::p27,1608.00501,cs.CV,train
1708.09687::p47,1708.09687,cs.CV,train
1311.6934::p10,1311.6934,cs.CV,train
1606.08270::p49,1606.08270,cs.CL,train
1510.02049::p9,1510.02049,cs.CL,train
1706.03216::p19,1706.03216,cs.CL,train
1602.06797::p18,1602.06797,cs.CL,train
1608.07720::p54,1608.07720,cs.CL,val
1712.00170::p15,1712.00170,cs.CL,val
1701.04024::p7,1701.04024,cs.CL,train
1702.06235::p5,1702.06235,cs.CL,train
1704.02813::p25,1704.02813,cs.CL,val
1711.01048::p5,1711.01048,cs.CL,val
1407.1687::p11,1407.1687,cs.CL,test
1610.03342::p6,1610.03342,cs.CL,train
1407.3751::p4,1407.3751,cs.CL,val
1702.03964::p2,1702.03964,cs.CL,train
1508.00189::p2,1508.00189,cs.CL,train
1703.02860::p8,1703.02860,cs.CL,train
1606.09370::p39,1606.09370,cs.CL,test
1704.05781::p13,1704.05781,cs.CL,train
1509.04473::p0,1509.04473,cs.CL,train
1705.03454::p5,1705.03454,cs.CL,train
1609.08824::p41,1609.08824,cs.CL,train
1801.06407::p6,1801.06407,cs.CL,train
1606.08733::p26,1606.08733,cs.CL,train
1707.07212::p18,1707.07212,cs.CL,val
1708.03390::p1,1708.03390,cs.CL,train
1610.05361::p10,1610.05361,cs.CL,test
1711.09645::p65,1711.09645,cs.CL,train
1606.08733::p5,1606.08733,cs.CL,train
1611.00472::p19,1611.00472,cs.CL,train
1608.05374::p18,1608.05374,cs.CL,train
1307.4879::p9,1307.4879,cs.CL,train
1704.00924::p35,1704.00924,cs.CL,val
1710.07695::p67,1710.07695,cs.CL,val
1711.01048::p24,1711.01048,cs.CL,val
1604.01692::p16,1604.01692,cs.CL,train
1611.02988::p2,1611.02988,cs.CL,train
1710.05094::p19,1710.05094,cs.CL,train
1708.00726::p11,1708.00726,cs.CL,train
1702.03082::p15,1702.03082,cs.CL,val
1710.07695::p69,1710.07695,cs.CL,val
1709.08624::p11,1709.08624,cs.CL,test
1606.08270::p8,1606.08270,cs.CL,train
1606.01341::p34,1606.01341,cs.CL,train
1507.04019::p47,1507.04019,cs.CL,val
1702.08303::p9,1702.08303,cs.CL,val
1802.00385::p41,1802.00385,cs.CL,test
1609.09382::p0,1609.09382,cs.CL,train
1606.09403::p0,1606.09403,cs.CL,test
1703.05916::p6,1703.05916,cs.CL,train
1711.07265::p21,1711.07265,cs.CL,test
1511.01665::p26,1511.01665,cs.CL,train
1709.01950::p6,1709.01950,cs.CL,train
1801.03257::p53,1801.03257,cs.CL,train
1508.07909::p15,1508.07909,cs.CL,train
1707.07601::p23,1707.07601,cs.CL,test
1610.08815::p22,1610.08815,cs.CL,train
1708.09234::p19,1708.09234,cs.CL,test
1709.00659::p26,1709.00659,cs.CL,train
1705.03454::p4,1705.03454,cs.CL,train
1611.00472::p36,1611.00472,cs.CL,train
1611.08813::p20,1611.08813,cs.CL,train
1608.07720::p25,1608.07720,cs.CL,val
1705.03995::p1,1705.03995,cs.CL,val
1706.04971::p3,1706.04971,cs.CL,train
1711.02918::p19,1711.02918,cs.CL,val
1711.06141::p3,1711.06141,cs.CL,train
1509.04473::p33,1509.04473,cs.CL,train
1203.5084::p15,1203.5084,cs.CL,train
1708.03390::p29,1708.03390,cs.CL,train
1606.08270::p0,1606.08270,cs.CL,train
1602.06797::p0,1602.06797,cs.CL,train
1603.01595::p34,1603.01595,cs.CL,val
1705.02925::p2,1705.02925,cs.CL,test
1609.09382::p55,1609.09382,cs.CL,train
1711.01100::p227,1711.01100,cs.CL,train
1703.02859::p15,1703.02859,cs.CL,val
1606.02514::p7,1606.02514,cs.CL,train
1708.09217::p43,1708.09217,cs.CL,train
1708.02099::p50,1708.02099,cs.CL,train
1407.3751::p9,1407.3751,cs.CL,val
1706.03499::p7,1706.03499,cs.CL,train
1707.03819::p4,1707.03819,cs.CL,test
1709.04219::p30,1709.04219,cs.CL,train
1705.03995::p38,1705.03995,cs.CL,val
1707.07212::p6,1707.07212,cs.CL,val
1203.5051::p105,1203.5051,cs.CL,val
1710.06481::p15,1710.06481,cs.CL,test
1711.06141::p16,1711.06141,cs.CL,train
1703.04001::p3,1703.04001,cs.CL,test
1710.01779::p13,1710.01779,cs.CL,train
1606.09370::p10,1606.09370,cs.CL,test
1604.08781::p14,1604.08781,cs.CL,train
1510.04780::p0,1510.04780,cs.CL,val
1608.03803::p7,1608.03803,cs.CL,train
1709.00659::p0,1709.00659,cs.CL,train
1611.01101::p20,1611.01101,cs.CL,test
1510.02049::p8,1510.02049,cs.CL,train
1610.02806::p4,1610.02806,cs.CL,train
1706.03216::p21,1706.03216,cs.CL,train
1610.04416::p14,1610.04416,cs.CL,test
1711.08195::p38,1711.08195,cs.CL,test
1702.06235::p6,1702.06235,cs.CL,train
1710.05094::p20,1710.05094,cs.CL,train
1301.7738::p10,1301.7738,cs.CL,test
1611.02988::p11,1611.02988,cs.CL,train
1607.04853::p21,1607.04853,cs.CL,train
